agency_id,nome_oficial,relationship_state,conflict_state,contact_channel,contact_value,message_preview,outreach_sent
64973b2341e2610b,MUNICÍPIO DE JOAÇABA,HUMAN_REVIEW_REQUIRED,CONFLICT_CHECK_PENDING,,,"Prezados(as) de MUNICÍPIO DE JOAÇABA,

A CONFENGE presta apoio técnico especializado a órgãos públicos em planejamento de contratações de obras e serviços de engenharia, orçamentação e apoio técnico à",false
1e7ce218446f38d5,MUNICÍPIO DE ÁGUAS DE CHAPECÓ,HUMAN_REVIEW_REQUIRED,CONFLICT_CHECK_PENDING,,,"Prezados(as) de MUNICÍPIO DE ÁGUAS DE CHAPECÓ,

A CONFENGE presta apoio técnico especializado a órgãos públicos em planejamento de contratações de obras e serviços de engenharia, orçamentação e apoio ",false
dcbd14ae311e49a9,MUNICÍPIO DE ITAIÓPOLIS,HUMAN_REVIEW_REQUIRED,CONFLICT_CHECK_PENDING,,,"Prezados(as) de MUNICÍPIO DE ITAIÓPOLIS,

A CONFENGE presta apoio técnico especializado a órgãos públicos em planejamento de contratações de obras e serviços de engenharia, orçamentação e apoio técnic",false
334057cc3f6389f5,MUNICÍPIO DE POUSO REDONDO,HUMAN_REVIEW_REQUIRED,CONFLICT_CHECK_PENDING,,,"Prezados(as) de MUNICÍPIO DE POUSO REDONDO,

A CONFENGE presta apoio técnico especializado a órgãos públicos em planejamento de contratações de obras e serviços de engenharia, orçamentação e apoio téc",false
f58a24de9be9d862,MUNICÍPIO DE GAROPABA,HUMAN_REVIEW_REQUIRED,CONFLICT_CHECK_PENDING,,,"Prezados(as) de MUNICÍPIO DE GAROPABA,

A CONFENGE presta apoio técnico especializado a órgãos públicos em planejamento de contratações de obras e serviços de engenharia, orçamentação e apoio técnico ",false
fd02bc480a5cbc17,Prefeitura Municipal de Catanduvas,HUMAN_REVIEW_REQUIRED,CONFLICT_CHECK_PENDING,,,"Prezados(as) de Prefeitura Municipal de Catanduvas,

A CONFENGE presta apoio técnico especializado a órgãos públicos em planejamento de contratações de obras e serviços de engenharia, orçamentação e a",false
5afa1dc1b862f322,MUNICÍPIO DE CAMPOS NOVOS,HUMAN_REVIEW_REQUIRED,CONFLICT_CHECK_PENDING,,,"Prezados(as) de MUNICÍPIO DE CAMPOS NOVOS,

A CONFENGE presta apoio técnico especializado a órgãos públicos em planejamento de contratações de obras e serviços de engenharia, orçamentação e apoio técn",false
28d3df4df0799169,PREFEITURA MUNICIPAL DE SANGÃO,HUMAN_REVIEW_REQUIRED,CONFLICT_CHECK_PENDING,,,"Prezados(as) de PREFEITURA MUNICIPAL DE SANGÃO,

A CONFENGE presta apoio técnico especializado a órgãos públicos em planejamento de contratações de obras e serviços de engenharia, orçamentação e apoio",false
b79b0aab8efe31d9,PREFEITURA MUNICIPAL DE PONTE SERRADA - SC,HUMAN_REVIEW_REQUIRED,CONFLICT_CHECK_PENDING,,,"Prezados(as) de PREFEITURA MUNICIPAL DE PONTE SERRADA - SC,

A CONFENGE presta apoio técnico especializado a órgãos públicos em planejamento de contratações de obras e serviços de engenharia, orçament",false
9c4e4aaa1cfc4f65,MUNICÍPIO DE PAULO LOPES,HUMAN_REVIEW_REQUIRED,CONFLICT_CHECK_PENDING,,,"Prezados(as) de MUNICÍPIO DE PAULO LOPES,

A CONFENGE presta apoio técnico especializado a órgãos públicos em planejamento de contratações de obras e serviços de engenharia, orçamentação e apoio técni",false
444fb273d015e685,MUNICÍPIO DE XANXERÊ,HUMAN_REVIEW_REQUIRED,CONFLICT_CHECK_PENDING,,,"Prezados(as) de MUNICÍPIO DE XANXERÊ,

A CONFENGE presta apoio técnico especializado a órgãos públicos em planejamento de contratações de obras e serviços de engenharia, orçamentação e apoio técnico à",false
63c009dec8aaa5dd,Fundação Cultural de São Bento do Sul,HUMAN_REVIEW_REQUIRED,CONFLICT_CHECK_PENDING,,,"Prezados(as) de Fundação Cultural de São Bento do Sul,

A CONFENGE presta apoio técnico especializado a órgãos públicos em planejamento de contratações de obras e serviços de engenharia, orçamentação ",false
